topic_id,topic_name,topic_url,topic_comment_count
18567,ORBÁN TAKARODJ !!!,https://forum.portfolio.hu/topics/orban-takarodj/18567,47 243
20627,Tréder Topik :o),https://forum.portfolio.hu/topics/treder-topik-o/20627,190 818
38715,CoronaVirus,https://forum.portfolio.hu/topics/coronavirus/38715,47 081
27644,BLUE topic,https://forum.portfolio.hu/topics/blue-topic/27644,9 499
38930,ELLENZÉKI összefogás HAZUGSÁGAI,https://forum.portfolio.hu/topics/ellenzeki-osszefogas-hazugsagai/38930,3 492
26797,Financial Forecasts,https://forum.portfolio.hu/topics/financial-forecasts/26797,49 752
38130,Delta Szekta,https://forum.portfolio.hu/topics/delta-szekta/38130,54 773
25696,KISBÜFIK topikja,https://forum.portfolio.hu/topics/kisbufik-topikja/25696,39 674
38234,Set Szekta és trú ÚRRRRAKKKK fenklubja,https://forum.portfolio.hu/topics/set-szekta-es-tru-urrrrakkkk-fenklubja/38234,32 477
38170,OPUS elemzesek,https://forum.portfolio.hu/topics/opus-elemzesek/38170,5 174
20340,Lakás/Ingatlan árak topik,https://forum.portfolio.hu/topics/lakasingatlan-arak-topik/20340,132 253
38328,leves,https://forum.portfolio.hu/topics/leves/38328,17 136
14026,DELTA LUFI,https://forum.portfolio.hu/topics/delta-lufi/14026,4 151
38455,NEW OPUS GLOBAL,https://forum.portfolio.hu/topics/new-opus-global/38455,88 431
22291,OTTone,https://forum.portfolio.hu/topics/ottone/22291,93 603
26210,Tudomány és Csillagászat,https://forum.portfolio.hu/topics/tudomany-es-csillagaszat/26210,7 196
866,Rába és a láma,https://forum.portfolio.hu/topics/raba-es-a-lama/866,104 072
38270,AutoWallis Nyrt+topic,https://forum.portfolio.hu/topics/autowallis-nyrttopic/38270,25 068
38708,4IG Nyrt reszvenyesek.,https://forum.portfolio.hu/topics/4ig-nyrt-reszvenyesek/38708,28 876
22449,"BUX index, BUX határidő, BÉT!",https://forum.portfolio.hu/topics/bux-index-bux-hatarido-bet/22449,92 797
5535,MOLly tulajok topikja,https://forum.portfolio.hu/topics/molly-tulajok-topikja/5535,292 295
16624,HUNMINING -- a magyar bányászatért,https://forum.portfolio.hu/topics/hunmining-a-magyar-banyaszatert/16624,6 881
19526,"Csak idő kérdése, hogy a Bitcoin elsöpri a pénzügyi rendszert?",https://forum.portfolio.hu/topics/csak-ido-kerdese-hogy-a-bitcoin-elsopri-a-penzugyi-rendszert/19526,15 304
6428,Mtelekom,https://forum.portfolio.hu/topics/mtelekom/6428,229 519
19099,Olaj és Gáz,https://forum.portfolio.hu/topics/olaj-es-gaz/19099,42 920
18042,EUR/USD,https://forum.portfolio.hu/topics/eurusd/18042,31 184
38652,A fidesz elcseszte az országot.,https://forum.portfolio.hu/topics/a-fidesz-elcseszte-az-orszagot/38652,10 257
26904,Appeninn real,https://forum.portfolio.hu/topics/appeninn-real/26904,20 079
38664,Futuraqua nyrt. részvényesek topicja,https://forum.portfolio.hu/topics/futuraqua-nyrt-reszvenyesek-topicja/38664,11 752
9810,Retro topik,https://forum.portfolio.hu/topics/retro-topik/9810,595
38965,Mol tulajok normálisan,https://forum.portfolio.hu/topics/mol-tulajok-normalisan/38965,666
17771,DAX,https://forum.portfolio.hu/topics/dax/17771,251 037
26723,VÁLASZTÁS 2022,https://forum.portfolio.hu/topics/valasztas-2022/26723,190
38682,EHEP várakozások,https://forum.portfolio.hu/topics/ehep-varakozasok/38682,11 233
18474,Interactive Brokers,https://forum.portfolio.hu/topics/interactive-brokers/18474,345
26793,CIGPANNONIA kitartók,https://forum.portfolio.hu/topics/cigpannonia-kitartok/26793,32 892
27434,Megakrán Nyrt.,https://forum.portfolio.hu/topics/megakran-nyrt/27434,1 803
23704,Ez is Magyarország...,https://forum.portfolio.hu/topics/ez-is-magyarorszag/23704,2 993
38578,NUTEX részvényesek topikja,https://forum.portfolio.hu/topics/nutex-reszvenyesek-topikja/38578,31 446
38966,Hazugságok az ELLENZÉKRŐL,https://forum.portfolio.hu/topics/hazugsagok-az-ellenzekrol/38966,13
26801,Opus real.,https://forum.portfolio.hu/topics/opus-real/26801,25 526
20185,EUR/HUF,https://forum.portfolio.hu/topics/eurhuf/20185,7 204
20583,édes-savanyú,https://forum.portfolio.hu/topics/edes-savanyu/20583,1 484
38727,OPUS 100Ft party,https://forum.portfolio.hu/topics/opus-100ft-party/38727,11
19209,Matolcsy egy zseni!!,https://forum.portfolio.hu/topics/matolcsy-egy-zseni/19209,7 567
15337,Masterplast,https://forum.portfolio.hu/topics/masterplast/15337,9 485
21789,ELLI(o)TT KLUB,https://forum.portfolio.hu/topics/elliott-klub/21789,24 901
25784,BIF tulajdonosok topikja,https://forum.portfolio.hu/topics/bif-tulajdonosok-topikja/25784,5 496
